ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Temp_C,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12:00,,,,"0, 1, 2","0, 1, 2",,,,21867,0,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,1,1,Hde,Hexagrammos decagrammus,Kelp greenling,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,1,1,Rni,Rhinogobiops nicholsii,Blackeye goby,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Mfr,Mesocentrotus franciscanus,Red sea urchin,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Pmi,Patiria miniata,Bat star,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Aca,Apostichopus californicus,California sea cucumber,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Oko,Orthasterias koehleri,Rainbow sea star,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Cgi,Crassadoma gigantea,Giant rock scallop,5,,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Pgi,Pomaulax gibberosus,Red turban snail,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Ami,Acmaea mitra,Whitecap limpet,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Dim,Dermasterias imbricata,Leather star,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Hka,Haliotis kamtschatkana,Northern abalone,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Rni,Rhinogobiops nicholsii,Blackeye goby,3,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Tsp,Tecturas sp.,Unidentified limpet,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Cpr,Cancer productus,Red rock crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Das,Diodora aspera,Rough keyhole limpet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Dmo,Doris montereyensis,Monterey Sea lemon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Hcr,Hermissenda crassicornis,Thick-horned nudibranch,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
