species_both,species_only_protected,species_only_unprotected
Rhinogobiops nicholsii,Gobiesox maeandricus,Chirolophis nugator
Artedius harringtoni,Hemilepidotus,Clinocottus acuticeps
Apodichthys flavidus,Myoxocephalus aenaeus,Orthonopias triacis
Jordania zonope,Artedius fenestralis,Pholis
Ophiodon elongatus,Synchirus gilli,Pholis laeta
Cottid spp.,Cadlina modesta,Asemichthys taylori
Oxylebius pictus,Pugettia foliata,Anoplarchus
Oligocottus maculosus,Dirona pellucida,Hemilepidotus spinosus
Enophrys bison,Pachycheles rudis,Pholis ornata
Scorpaenichthys marmoratus,Heptacarpus stylus,Pleuronichthys coenosus
Anarrhichthys ocellatus,Opalia wroblewskyi,Citharichthys stigmaeus
Pholis clemensi,Amphissa columbiana,Liparis florae
Cancer productus,Tegula funebralis,Ascelichthys rhodorus
Decapoda spp.,Elassochirus tenuimanus,Pugettia gracilis
Dermasterias imbricata,Pachycheles,Enteroctopus dofleini
Mesocentrotus franciscanus,Malacostraca spp.,Neverita lewisii
Apostichopus californicus,Armina californica,Triopha modesta
Crassadoma gigantea,Pandalus,Pandalus gurneyi
Diaulula sandiegensis,Cadlina sylviaearleae,Triopha catalinae
Haliotis kamtschatkana,Eurylepta leoparda,Triopha spp.
Diodora aspera,Aldisa,Antiopella fusca
Henricia leviuscula,Percidae spp.,Nucella lamellosa
Doris montereyensis,NA,Discorsopagurus schmitti
Acmaea mitra,NA,Coryphella verrucosa
Lottia scutum,NA,Lottia
Evasterias troschelii,NA,Rostanga pulchra
Orthasterias koehleri,NA,Pugettia richii
Henricia spp.,NA,Dendronotus albus
Ceratostoma foliatum,NA,Boreoberthella chacei
Diaulula odonoghuei,NA,Leptasterias hexactis
Pomaulax gibberosus,NA,Mimulus foliatus
Glebocarcinus oregonensis,NA,Pachythyone rubra
Scyra acutifrons,NA,Solaster stimpsoni
Pachycheles pubescens,NA,Aglaja ocelligera
Coryphella trilineata,NA,Acanthodoris nanaimoensis
Acanthodoris hudsoni,NA,Solaster dawsoni
Tritonia festiva,NA,Leptasterias
Strongylocentrotus droebachiensis,NA,Onchidoris bilamellata
Chlamys,NA,Cryptonatica aleutica
Pugettia producta,NA,Petrolisthes eriomerus
Patiria miniata,NA,Actinopterygii spp.
Pagurus hemphilli,NA,Pleurobrachia bachei
Pycnopodia helianthoides,NA,Embiotocidae spp.
Pisaster ochraceus,NA,Zalophus californianus
Montereina nobilis,NA,Cymatogaster aggregata
Hermissenda crassicornis,NA,Sebastes pinniger
Dirona albolineata,NA,Rhamphocottus richardsonii
Polycera tricolor,NA,Gibbonsia metzi
Mitrocoma cellularia,NA,NA
Cadlina luteomarginata,NA,NA
Cadlina,NA,NA
Hapalogaster mertensii,NA,NA
Echidnocerus cibarius,NA,NA
Strongylocentrotus purpuratus,NA,NA
Limacia cockerelli,NA,NA
Pagurus beringanus,NA,NA
Calliostoma ligatum,NA,NA
Chlamys hastata,NA,NA
Pagurus caurinus,NA,NA
Stylasterias forreri,NA,NA
Pteraster tesselatus,NA,NA
Scyra,NA,NA
Mediaster aequalis,NA,NA
Lopholithodes mandtii,NA,NA
Pisaster brevispinus,NA,NA
Henricia pumila,NA,NA
Rhinolithodes wosnessenskii,NA,NA
Oregonia gracilis,NA,NA
Chlamys rubida,NA,NA
Pandalus danae,NA,NA
Romaleon antennarium,NA,NA
Doris odhneri,NA,NA
Cryptolithodes typicus,NA,NA
Geitodoris heathi,NA,NA
Lophopanopeus bellus,NA,NA
Megathura crenulata,NA,NA
Chorilia longipes,NA,NA
Dendronotus iris,NA,NA
Coryphella trophina,NA,NA
Rhacochilus vacca,NA,NA
Hexagrammos decagrammus,NA,NA
Sebastes melanops,NA,NA
Sebastes spp.,NA,NA
Bolinopsis infundibulum,NA,NA
Sebastes caurinus,NA,NA
Hemilepidotus hemilepidotus,NA,NA
Embiotoca lateralis,NA,NA
Hexagrammos,NA,NA
Hexagrammos stelleri,NA,NA
Brachyistius frenatus,NA,NA
Aequorea victoria,NA,NA
Phoca vitulina,NA,NA
Sebastes maliger,NA,NA
Sebastes flavidus,NA,NA
Sebastes nebulosus,NA,NA
Aulorhynchus flavidus,NA,NA
Polyorchis penicillatus,NA,NA
