UniqueID,Filename/FlightID,Year,Month,Day,Date,Critical Period,Day Type,Creel Subarea,GMA,PFMA,Pin ID,"Date Created
(Timestamp from Avenza Maps)",Latitude,Longitude,1. Rec Boat Fishing,2. Rec Boats Running,3. Commercial Vessel Fishing,4. Commercial Vessel Not Fishing,5. Small Commercial Vessel,6. Large Commercial Vessel,7.  Whale Watching Boat,8. Orcas,9. Whales,10. Sea State,Description,Notes,COUNT (1/2)
2021_12358559_48303641,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 10,2023-06-26T15:00:07-07:00,48.303641,-123.585594,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12354042_48306973,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 11,2023-06-26T15:00:32-07:00,48.306974,-123.540428,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
2021_12354015_48331941,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 12,2023-06-26T15:01:07-07:00,48.331942,-123.54015,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12348656_48311900,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19E,SOG,19-3,Placemark 13,2023-06-26T15:02:02-07:00,48.3119,-123.486563,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12344883_48403776,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 14,2023-06-26T15:03:45-07:00,48.403776,-123.448832,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12338253_48405017,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 15,2023-06-26T15:04:25-07:00,48.405017,-123.382533,4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12333226_48401434,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 16,2023-06-26T15:04:57-07:00,48.401435,-123.332263,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12329932_48338156,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 17,2023-06-26T15:05:12-07:00,48.338157,-123.299324,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12325865_48398941,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19C,SOG,19-4,Placemark 18,2023-06-26T15:05:51-07:00,48.398942,-123.258651,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12327478_48406823,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19C,SOG,19-4,Placemark 19,2023-06-26T15:06:05-07:00,48.406824,-123.274789,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12352404_48686065,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19A,SOG,19-7,Placemark 2,2023-06-26T14:47:23-07:00,48.686065,-123.52405,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12328515_48417285,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19C,SOG,19-4,Placemark 20,2023-06-26T15:06:20-07:00,48.417286,-123.285152,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12325652_48419136,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19C,SOG,19-4,Placemark 21,2023-06-26T15:06:36-07:00,48.419136,-123.256527,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
