UniqueID,Filename/FlightID,Year,Month,Day,Date,Critical Period,Day Type,Creel Subarea,GMA,PFMA,Pin ID,"Date Created
(Timestamp from Avenza Maps)",Latitude,Longitude,1. Rec Boat Fishing,2. Rec Boats Running,3. Commercial Vessel Fishing,4. Commercial Vessel Not Fishing,5. Small Commercial Vessel,6. Large Commercial Vessel,7.  Whale Watching Boat,8. Orcas,9. Whales,10. Sea State,Description,
2023_12361886_48332757,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20DB,SOG,20-5,Placemark 1,2023_03_01T15:32:12-07:00,48.332757,-123.618868,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12354151_48332521,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 2,2023_03_01T15:32:55-07:00,48.332522,-123.54152,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12355311_48302834,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 3,2023_03_01T15:33:07-07:00,48.302835,-123.553111,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12359488_48298611,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 4,2023_03_01T15:33:21-07:00,48.298612,-123.594884,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12362793_48306226,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 5,2023_03_01T15:33:43-07:00,48.306227,-123.627939,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12376933_48348608,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 6,2023_03_01T15:34:03-07:00,48.348609,-123.769339,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12398272_48372323,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,20C,SOG,20-4,Placemark 7,2023_03_01T15:34:49-07:00,48.372323,-123.982725,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12350620_48322034,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19E,SOG,19-3,Placemark 8,2023_03_01T15:35:18-07:00,48.322034,-123.506207,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12347234_48323948,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19E,SOG,19-3,Placemark 9,2023_03_01T15:35:35-07:00,48.323949,-123.472345,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12345233_48311095,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19E,SOG,19-3,Placemark 10,2023_03_01T15:35:54-07:00,48.311095,-123.452335,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12341419_48411290,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 11,2023_03_01T15:36:07-07:00,48.41129,-123.414194,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12343256_48409116,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 12,2023_03_01T15:36:26-07:00,48.409116,-123.432567,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12339266_48405553,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 13,2023_03_01T15:36:37-07:00,48.405554,-123.392666,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12336815_48397834,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 14,2023_03_01T15:37:19-07:00,48.397834,-123.36815,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12334469_48340259,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19D,SOG,19-3,Placemark 15,2023_03_01T15:37:41-07:00,48.34026,-123.344698,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12326386_48428496,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19C,SOG,19-4,Placemark 16,2023_03_01T15:37:52-07:00,48.428497,-123.263862,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12325791_48548804,20230301_3304_SOGS,2023,3,1,2023-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 17,2023_03_01T15:38:44-07:00,48.548804,-123.257915,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12349217_48680477,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19A,SOG,19-7,Placemark 1,2023_03_05T15:53:02-07:00,48.680478,-123.492178,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12353811_48649144,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19A,SOG,19-8,Placemark 2,2023_03_05T15:53:15-07:00,48.649145,-123.538117,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12349397_48603541,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19A,SOG,19-8,Placemark 3,2023_03_05T15:53:33-07:00,48.603541,-123.493976,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12348420_48586091,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19A,SOG,19-8,Placemark 4,2023_03_05T15:53:47-07:00,48.586091,-123.48421,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12351598_48590546,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19A,SOG,19-8,Placemark 5,2023_03_05T15:54:00-07:00,48.590547,-123.515987,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12352108_48347798,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19E,SOG,19-3,Placemark 6,2023_03_05T15:54:56-07:00,48.347799,-123.521085,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12351216_48324605,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19E,SOG,19-3,Placemark 7,2023_03_05T15:55:11-07:00,48.324606,-123.512166,5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12348755_48322723,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19E,SOG,19-3,Placemark 8,2023_03_05T15:55:37-07:00,48.322723,-123.487555,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12350011_48299352,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19E,SOG,19-3,Placemark 9,2023_03_05T15:56:00-07:00,48.299353,-123.500118,16,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12348398_48305293,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19E,SOG,19-3,Placemark 10,2023_03_05T15:56:11-07:00,48.305294,-123.483988,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12353897_48331786,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 11,2023_03_05T15:56:32-07:00,48.331786,-123.538976,8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12354871_48335124,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 12,2023_03_05T15:56:43-07:00,48.335125,-123.54871,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12353539_48321413,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 13,2023_03_05T15:56:56-07:00,48.321414,-123.535395,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12358277_48301808,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 14,2023_03_05T15:57:57-07:00,48.301808,-123.582777,<Null>,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12359420_48300147,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 15,2023_03_05T15:58:13-07:00,48.300148,-123.594203,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12360541_48305164,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 16,2023_03_05T15:58:25-07:00,48.305164,-123.605415,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12362952_48314061,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 17,2023_03_05T15:58:39-07:00,48.314062,-123.629524,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12362186_48327986,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20DB,SOG,20-5,Placemark 18,2023_03_05T15:59:07-07:00,48.327987,-123.621866,5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12368259_48311220,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 19,2023_03_05T15:59:25-07:00,48.31122,-123.682597,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12368885_48328543,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 20,2023_03_05T15:59:41-07:00,48.328544,-123.688857,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12373637_48330023,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 21,2023_03_05T15:59:59-07:00,48.330024,-123.73638,4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12385276_48357674,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 22,2023_03_05T16:00:19-07:00,48.357674,-123.852762,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12388321_48364405,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 23,2023_03_05T16:00:36-07:00,48.364406,-123.883215,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12388146_48323608,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 24,2023_03_05T16:00:57-07:00,48.323608,-123.88147,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12357863_48276783,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20D,SOG,20-5,Placemark 25,2023_03_05T16:01:49-07:00,48.276784,-123.578634,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12398109_48371728,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,20C,SOG,20-4,Placemark 26,2023_03_05T16:02:55-07:00,48.371729,-123.981093,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12344550_48422726,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 27,2023_03_05T16:03:29-07:00,48.422727,-123.445505,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12346840_48391958,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 28,2023_03_05T16:03:46-07:00,48.391958,-123.468407,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12346688_48402049,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 29,2023_03_05T16:04:14-07:00,48.40205,-123.466886,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12339942_48414422,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 30,2023_03_05T16:04:29-07:00,48.414423,-123.399423,4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
