FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b85,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,Rhinogobiops nicholsii,12.5,1,36.9044,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b86,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,7.5,1,7.7132,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b87,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,10,3,56.7762,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b88,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,12.5,1,37.9668,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b89,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,1,67.0579,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b8a,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,3,450.0609,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b8b,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,1,232.1561,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b8c,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,35,1,231.3251,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b8d,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius pictus,Oxylebius pictus,10,1,21.4147,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b8e,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,10,1,21.0804,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b8f,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,12.5,2,83.8284,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b90,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,15,3,220.4756,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b91,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,20,1,162.7257,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b92,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes spp.,Sebastes spp.,7.5,1,10.3518,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b93,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,7.5,1,7.7132,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b94,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,10,4,75.7016,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b95,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,12.5,4,151.8673,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b96,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,4,268.2315,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b97,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,3,450.0609,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b98,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius pictus,Oxylebius pictus,10,1,21.4147,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b99,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,5,1,2.4929,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b9a,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,7.5,3,26.0728,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b9b,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,10,1,21.0804,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b9c,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,,,1,2,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Sebastes melanops,12.5,1,41.9142,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b9d,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,2,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,1,232.1561,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b9e,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,2,Chordata,Actinopterygii,,,Actinopterygii spp.,Actinopterygii spp.,2.5,80,33.8379,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4b9f,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,2,300.0406,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4ba0,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,25,3,696.4684,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4ba1,923404569,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2024-04-29,4,RLS,4,14:51:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,12.5,1,37.9668,POINT (-125.19999694824219 48.849998474121094)
ep_m1_public_data.fid--462e4c35_1968ed55b81_4ba2,923404569,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC2,Kirby,48.85,-125.2,2024-04-29,4,RLS,4,14:51:00,,,1,1,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,15,5,335.2894,POINT (-125.19999694824219 48.849998474121094)
